,date,country,GDP,quarter,ADM0_ISO,first,second,third,year
1488,2015-06-30,巴西,-2.7404,2,BRA,0.3271152224642248,0.7479456832362683,0.7853133361276645,2015
1489,2015-09-30,巴西,-4.2628,3,BRA,0.6952580494807785,0.4638670064802512,0.3763530396073712,2015
1490,2015-12-31,巴西,-5.5196,4,BRA,0.3636717110613687,0.3432373315310658,0.3971306368132981,2015
1491,2016-03-31,巴西,-5.1382,1,BRA,0.3148204437963584,0.4316976029462755,0.3144728590515763,2016
1492,2016-06-30,巴西,-3.2185,2,BRA,0.3319701012489595,0.3355070271006703,0.6351310947460252,2016
1493,2016-09-30,巴西,-2.4542,3,BRA,1.199646156302098,0.8072385847747896,0.3486955862452625,2016
1494,2016-12-31,巴西,-2.2611,4,BRA,0.3313926670750115,0.4652982320296901,0.4651244943867666,2016
1495,2017-03-31,巴西,0.282,1,BRA,0.3395576875531456,0.4069799045522363,0.4835282468633382,2017
1496,2017-06-30,巴西,0.7875,2,BRA,0.5377916338174361,0.3909588375384763,0.3451981052205934,2017
1497,2017-09-30,巴西,1.6407,3,BRA,0.3302843854197076,0.3914786513061905,0.5554398593303079,2017
1498,2017-12-31,巴西,2.5762,4,BRA,0.5197566249161943,0.4286328863504003,0.4110593348688731,2017
1499,2018-03-31,巴西,1.905,1,BRA,0.3620433102933145,0.3876382798255346,0.4364672824717868,2018
1500,2018-06-30,巴西,1.6171,2,BRA,0.2233277404351258,0.1760103778418028,0.3396714141040701,2018
1501,2018-09-30,巴西,2.0568,3,BRA,0.4027535398853498,0.376686073727432,0.4392037469471318,2018
1502,2018-12-31,巴西,1.5546,4,BRA,0.4448877782823396,0.4055103831969562,0.3848883441565343,2018
1503,2019-03-31,巴西,0.9013,1,BRA,0.3446391559537931,0.4129866669692063,0.4403676395386868,2019
1504,2019-06-30,巴西,1.1725,2,BRA,0.4158878895440202,0.3557086359419682,0.3289841186369252,2019
1505,2019-09-30,巴西,1.1096,3,BRA,0.3334088440326791,0.3651699393350215,0.4088831780321522,2019
1506,2019-12-31,巴西,1.6939,4,BRA,0.4456907636230478,0.4012374553778804,0.3591074941722869,2019
1507,2020-03-31,巴西,0.414,1,BRA,0.3579320653256923,0.4552488010881524,0.5310303938472676,2020
1508,2020-06-30,巴西,-10.1377,2,BRA,0.5825813467060541,0.4184951223687775,0.3947637615727814,2020
1509,2020-09-30,巴西,-3.0357,3,BRA,0.4478226690207394,0.4586354287777814,0.5234756346695678,2020
1510,2020-12-31,巴西,-0.3339,4,BRA,0.5021063859263595,0.4689369799784402,0.4302661527149781,2020
1511,2021-03-31,巴西,1.7498,1,BRA,0.1537440732527432,0.1528964131702008,0.1904126257983165,2021
1512,2021-06-30,巴西,12.3965,2,BRA,0.2058849715208431,0.1751537421188778,0.1642242020937391,2021
1513,2021-09-30,巴西,4.213,3,BRA,0.177008580291242,0.2119311911423708,0.2095933347978653,2021
1514,2021-12-31,巴西,1.4586,4,BRA,0.2169292501934974,0.1702368915158311,0.1672286193158054,2021
1515,2022-03-31,巴西,1.4734,1,BRA,0.1638072107563668,0.174441499675625,0.1721401287837487,2022
1516,2022-06-30,巴西,3.5439,2,BRA,0.2174159239718321,0.1966221187892075,0.1812194295355522,2022
1517,2022-09-30,巴西,4.3218,3,BRA,0.1473026148364506,0.1727075396629287,0.2415638200382636,2022
1518,2022-12-31,巴西,2.6939,4,BRA,0.239570404781134,0.2134769526675395,0.1830422861239558,2022
1519,2023-03-31,巴西,4.2212,1,BRA,0.1751164700886684,0.1590714134485527,0.2251020511260045,2023
1520,2023-06-30,巴西,3.4681,2,BRA,0.2438561658415673,0.2017362163745823,0.2001935968292686,2023
1521,2023-09-30,巴西,1.9597,3,BRA,0.1851578780903128,0.2121194946806524,0.2384481293271158,2023
1522,2023-12-31,巴西,2.0532,4,BRA,0.2326343142735771,0.2745490776035321,0.2165848924361343,2023
1648,2013-03-31,意大利,-2.9,1,ITA,2.752037567254532,3.313328879552232,2.707958028708372,2013
1649,2013-06-30,意大利,-2.2,2,ITA,3.001231053205963,0.345518204800299,0.0,2013
1650,2013-09-30,意大利,-1.5,3,ITA,0.2764448950523314,2.625485326701561,2.942516066764734,2013
1651,2013-12-31,意大利,-0.9,4,ITA,2.670686135563801,3.033730342235452,3.020531117847046,2013
1652,2014-03-31,意大利,0.2,1,ITA,3.023410814267408,2.84318700914614,2.859700317779106,2014
1653,2014-06-30,意大利,0.1,2,ITA,3.089274530995686,0.3019452820248407,0.0,2014
1654,2014-09-30,意大利,0.1,3,ITA,0.2071438813534986,3.08299070946702,2.894380083133725,2014
1655,2014-12-31,意大利,-0.1,4,ITA,2.965404387468774,2.735070688837176,3.378127897805261,2014
1656,2015-03-31,意大利,0.1,1,ITA,3.120153878954328,3.058532645184697,2.959314469416507,2015
1657,2015-06-30,意大利,0.5,2,ITA,3.147554510227683,0.1150107474255989,0.0,2015
1658,2015-09-30,意大利,0.5,3,ITA,0.1147555405635545,2.477934153734787,2.871460511143635,2015
1659,2015-12-31,意大利,1.4,4,ITA,2.695647360769869,2.92035936623139,2.972645698868734,2015
1660,2016-03-31,意大利,1.4,1,ITA,3.019721721159872,2.737981698739532,2.910000242287536,2016
1661,2016-06-30,意大利,1.2,2,ITA,2.891090304594711,0.3864921286608082,0.0,2016
1662,2016-09-30,意大利,1.6,3,ITA,0.2711327351697859,3.092549864864913,2.847865143261693,2016
1663,2016-12-31,意大利,1.5,4,ITA,2.865652298331255,2.890702003830998,3.157424997377401,2016
1664,2017-03-31,意大利,1.6,1,ITA,3.240767386899354,3.172716299306701,3.295662458430842,2017
1665,2017-06-30,意大利,1.8,2,ITA,3.159589256433889,0.7873276182265403,0.0,2017
1666,2017-09-30,意大利,1.7,3,ITA,0.3625938055525048,3.167375623321532,3.165092304682384,2017
1667,2017-12-31,意大利,1.9,4,ITA,3.304853334266296,3.147518053598302,3.475790076043586,2017
1668,2018-03-31,意大利,1.3,1,ITA,3.297531194244024,3.115349547857142,3.163319390976342,2018
1669,2018-06-30,意大利,0.9,2,ITA,0.7526514684974724,0.064359205358192,0.0,2018
1670,2018-09-30,意大利,0.6,3,ITA,0.0106362784168417,1.701340047176883,3.019084050196923,2018
1671,2018-12-31,意大利,0.3,4,ITA,2.9672253150886,2.975559511465095,3.135112281456658,2018
1672,2019-03-31,意大利,0.5,1,ITA,3.335989298087149,3.366132783712641,3.360911935077877,2019
1673,2019-06-30,意大利,0.8,2,ITA,3.123170800525458,0.769963991459095,0.0,2019
1674,2019-09-30,意大利,0.8,3,ITA,0.273216087158083,2.99169484254735,3.043218758686105,2019
1675,2019-12-31,意大利,-0.2,4,ITA,3.128550745661518,2.953000369179966,3.309088221567324,2019
1676,2020-03-31,意大利,-6.3,1,ITA,3.145171142574562,3.177654045008989,3.171673711416327,2020
1677,2020-06-30,意大利,-17.6,2,ITA,3.344528627702644,0.287304780249676,0.0,2020
1678,2020-09-30,意大利,-6.2,3,ITA,0.3371920577800877,3.109730361335532,2.999855493561941,2020
1679,2020-12-31,意大利,-6,4,ITA,2.968292552420513,3.266241493089683,3.214918182421036,2020
1680,2021-03-31,意大利,1.5,1,ITA,0.813266918368179,0.8497617943600684,0.7883153947883917,2021
1681,2021-06-30,意大利,18.1,2,ITA,0.7876794557303662,0.0864270888067898,0.0,2021
1682,2021-09-30,意大利,6.6,3,ITA,0.000113751909671,0.3949102144760282,0.7688157477214788,2021
1683,2021-12-31,意大利,8,4,ITA,0.7612193426932886,0.6733512242915172,0.8122867684002245,2021
1684,2022-03-31,意大利,6.6,1,ITA,0.7946055121861082,0.833088830306622,0.8193753351627544,2022
1685,2022-06-30,意大利,5.3,2,ITA,0.7873865725667144,0.0936873877590435,0.0,2022
1686,2022-09-30,意大利,2.8,3,ITA,0.0,0.6529462728021835,0.7424768204529345,2022
1687,2022-12-31,意大利,2,4,ITA,0.7408052255200755,0.7277457862026167,0.6513553960554043,2022
1688,2023-03-31,意大利,2.2,1,ITA,0.7549059133159441,0.7547420359585874,0.781664937280224,2023
1689,2023-06-30,意大利,0.6,2,ITA,0.7276391824964153,0.000245585412255,0.0,2023
1690,2023-09-30,意大利,0.6,3,ITA,0.0183253820293146,0.6362611477095697,0.7388582511568298,2023
1691,2023-12-31,意大利,0.7,4,ITA,0.7299322197720018,0.734815213777672,0.7783977523050811,2023
1897,2013-03-31,加拿大,1.57,1,CAN,0.6474590807050902,0.7751186986419539,0.385079667552791,2013
1898,2013-06-30,加拿大,1.82,2,CAN,0.0672669926144162,0.0,0.0,2013
1899,2013-09-30,加拿大,2.52,3,CAN,0.0,0.0076394464568905,0.0873702848978343,2013
1900,2013-12-31,加拿大,3.38,4,CAN,0.6209676654009941,0.910943075780562,0.5238428316274432,2013
