,date,country,GDP,出口金额,工业,股票市值,国际收支金融账户差额,国际收支经常账户差额,国际收支经常账户贷方,国际收支经常账户借方,国际收支资本账户差额,国际收支资本账户贷方,国际收支资本账户借方,国际收支差额,国际投资头寸资产,国际投资头寸负债,国际投资头寸净额,进口金额,名义有效汇率,零售额,CPI,失业率,中央银行政策利率,quarter,ADM0_ISO,first,second,third,year
2036,2019-09-30,俄罗斯,2.767461759010463,-6.912962827744534,4.21,10.481773115866826,-69.98032577357156,-61.71280695880144,-6.287538463283132,6.864770917060377,-989.3317702227433,-2.57269484380067,81.1658749010293,20.38173296145988,8.869810087666416,5.277784331981074,20.38146268120107,3.96,4.674354132297517,1.166666666666667,4.3,4.384212,7.166666666666667,3,RUS,0.0,0.0142061950771024,0.1278435168640578,2019
2037,2019-12-31,俄罗斯,3.06950161977111,-8.654730272405358,2.86,25.88445004580109,-64.88216219686124,-72.31203291059487,-5.775045170497788,16.45812569171607,72.1654530991862,-21.68901033216634,-64.49671133713011,-3.982515195439378,12.70467340420109,19.15102490878239,-3.982605515019482,9.5,6.58090180054292,2.1,3.433333333333333,4.637179,6.416666666666667,4,RUS,0.7048316833486896,0.712913766633098,0.632402560810801,2019
2038,2020-03-31,俄罗斯,1.516031201759539,-9.82349345758034,3.166666666666667,1.555421349556141,-21.80796938185834,-29.04264971022772,-11.04333547077258,-4.851788499177881,-132.5857519788918,-50.09206318441709,-35.89277601090413,39.2986225262153,4.730105074376111,-7.812775496373282,39.29940032340606,1.273333333333333,2.40360257834013,4.366666666666667,2.4,4.664131,6.083333333333333,1,RUS,0.6040023567299749,0.8404593208785709,0.3102147964410118,2020
2039,2020-06-30,俄罗斯,-7.31564683170994,-29.827639084264767,-6.233333333333333,-10.922824944250335,-86.64861894090875,-87.89965450534403,-30.21577240036954,-25.37269970543063,-426.215644820296,-47.89067142008318,-16.76613462873005,27.8273585518262,4.660197975200197,-3.44676099474511,27.82866988572302,-12.576666666666666,-7.646077042009144,-16.1,3.1,5.98645,5.166666666666667,2,RUS,0.0159523517897025,0.0,0.0,2020
2040,2020-09-30,俄罗斯,-3.3283377592367,-23.648713254134208,-4.333333333333333,-11.659534288525943,-30.24455609147618,-65.01464832393216,-23.82442956382293,-20.32250103814439,39.53938872148084,-7.755464329302119,-23.88964763725758,47.39429814109264,4.117679379162796,-11.32389684358621,47.39565945181518,-7.473333333333333,-13.698983181818997,-1.666666666666667,3.566666666666667,6.327375,4.25,3,RUS,0.0,0.0124078576300546,0.130543128519119,2020
2041,2020-12-31,俄罗斯,-1.301421379435291,-16.309538692093437,-0.866666666666667,-17.46912148647308,-41.12738203439574,-39.91270251589459,-15.37546696240953,-13.42613781820789,95.76280501209057,5.201177625122669,-61.92860013885336,43.73833291849141,3.618238973126888,-8.871532003785115,43.73943606446607,-2.106666666666667,-19.69910420689751,-2.7,4.433333333333333,6.103959,4.25,4,RUS,0.5602700248663697,0.7218676225034232,0.8187188700825954,2020
2042,2021-03-31,俄罗斯,0.868649556087107,13.246657121392987,-0.366666666666667,24.479738855323006,-1.563033071718005,1.043767756016668,3.819216524284777,4.531205367476082,4564.97975708502,526.504854368932,80.86463501063076,-11.68829811829675,3.758764633696327,12.22761373736529,-11.68805681419211,11.643333333333333,-15.151661703333723,-1.566666666666667,5.566666666666667,5.614388,4.333333333333333,1,RUS,0.2341706997247885,0.2537877430302476,0.0952309560648173,2021
2183,2013-03-31,墨西哥,-0.3,-1.496666666666667,-1.666266666666667,20.780937895152178,22.4164628836865,-77.50908257657743,0.866324525224326,4.165247732464311,170.9661511977139,458.199531378532,-1.085876206152198,-29.1487020566786,12.90272551911082,21.27007655867711,-29.14543726765858,1.816666666666667,3.245687326780077,1.125077665240645,3.686378333333333,4.988171,4.333333333333333,1,MEX,0.7484871616909293,0.567167788952998,0.623297255764471,2013
2184,2013-06-30,墨西哥,1.7,2.576666666666667,0.099833333333333,19.835943426902926,-104.7288720498317,-836.3831425372246,1.225785487103047,8.652731866938144,5639.59267844062,15560.83242430799,-15.37809040880012,-26.61177940673043,5.328245401015173,15.73827041624409,-26.61154590753314,4.956666666666667,8.987147877220295,-1.643082994656268,4.456287333333333,5.103687,4,2,MEX,0.6215179189915297,0.5838763274386943,0.6054876177923719,2013
2185,2013-09-30,墨西哥,1,5.613333333333333,-1.074666666666667,4.413656259423234,66.1093352820215,-71.47099678829316,4.706167704406335,6.712904610058094,210.2117958335276,216.7007559705182,17.50401378057662,-11.53679778211673,7.979808123892023,9.81119136523524,-11.53675429972615,5.29,2.537853643171933,0.119807223893167,3.439812666666667,4.867113,3.916666666666667,3,MEX,0.6270258643752872,0.53649635852225,0.4540945480032484,2013
