,date,country,GDP,出口金额,工业,股票市值,国际收支金融账户差额,国际收支经常账户差额,国际收支经常账户贷方,国际收支经常账户借方,国际收支资本账户差额,国际收支资本账户贷方,国际收支资本账户借方,国际收支差额,国际投资头寸资产,国际投资头寸负债,国际投资头寸净额,进口金额,名义有效汇率,零售额,CPI,失业率,中央银行政策利率,year,quarter
2952,1997-09-30,加拿大,4.52,7.08,5.109837706379403,38.50869223340573,-285.517706303399,-207.665778021323,6.756420575997171,14.17391852459667,3.907626895369885,3.886188026892603,-1.143030965213287,10.66311258872308,29.47459355491043,16.32235826404039,10.66307066086227,15.43,1.53054889185182,9.140411771804427,1.723333333333333,8.866667,3.25,1997,3
2953,1997-12-31,加拿大,4.7,12.02,6.079891275748305,16.762954472779825,-740.4955331175056,-421.2552903673858,7.299935661035225,11.83023693223804,89.48487533158234,0.631889556345827,-43.53205814370342,15.3168258168812,16.84018542376528,6.979507934895418,15.31713050510802,14.67,-0.951158621510502,7.858759085779648,1.043333333333333,8.766666,3.833333333333333,1997,4
2954,1998-03-31,加拿大,4.77,9.52,4.844424293160273,18.879720617847862,-704.2870930692608,-105.9377154107581,2.41118256701322,5.759109990950588,-13.72236821446694,-0.267474237232222,8.808530239669315,14.31102012093694,20.72858608493512,10.30933561719027,14.31637004326184,9.5,-1.475521589047286,5.437528077825903,1.036666666666667,8.6,4.75,1998,1
2955,1998-06-30,加拿大,3.66,9.36,3.70446919334173,20.628384098430715,3.189093154956464,-31.53462544243515,1.409042171138845,2.319578192669553,78.61329164130179,0.608212093411122,-20.12263356682718,14.92212852792945,13.12525066931119,5.769706037091667,14.91292264025451,7.7,-0.802349874981798,4.46804505991425,0.996666666666667,8.333333,4.75,1998,2
2956,1998-09-30,加拿大,3.38,8.44,1.829579512756189,-15.030393016267192,97.24664494301,98.7317209071327,-1.704348375166642,-4.869487012733293,0.274677092005486,-4.003409599919793,-1.664608359303791,22.66249274228279,-3.782767487708787,-8.521440543910607,22.61238285182213,0.97,-5.353279224770907,4.097105154189273,0.843333333333333,8.2,5.333333333333333,1998,3
2957,1998-12-31,加拿大,3.78,10.72,2.615703510761292,-6.87849640302567,110.3837169600804,33.5603798348318,-0.130780103559387,-1.14595883179256,-1289.117166913357,-4.074588080948775,113.9405417808074,32.98635567587394,11.82443852614276,0.947233172210183,32.98767171897865,3.56,-7.813595665121088,2.147367579721119,1.106666666666667,8.033334,5.083333333333333,1998,4
2958,1999-03-31,加拿大,4.18,11.16,4.065803435246638,-7.363776721597233,61.47069408353197,56.61342160985151,4.716192254805653,0.85418843472826,-9.717709173393567,-0.62689911209507,6.387312741698597,40.45532477128231,7.56430216955173,-3.525266008019335,40.4552482520508,4.21,-5.583495196027584,5.904178104164763,0.77,7.9,4.916666666666667,1999,1
2959,1999-06-30,加拿大,4.98,10.09,4.679630067738636,-3.753588642074494,-2.13503815442245,71.99103939619717,7.962233356574665,4.855676804098514,-66.78396882381988,3.13553584770397,7.594991629438717,43.15502764924171,10.9402325994719,-0.477387811233249,43.16112610555675,5.53,-1.585919235089613,4.544671217675408,1.606666666666667,7.9,4.583333333333333,1999,2
2960,1999-09-30,加拿大,5.67,11.68,7.420575521179289,29.762102984073614,2462.656508627456,9302.26156989331,15.40422884138231,11.35193816517996,-8.553305064010715,7.031703140203375,7.999597695894109,46.07297984153932,31.31562596001368,14.83241054331014,46.10817351818812,10.74,1.184928210550062,6.317247713225322,2.19,7.5,4.5,1999,3
2961,1999-12-31,加拿大,5.71,10.41,7.482411169802038,35.594394037292425,352.0483649985456,162.9913953971477,16.78889611037214,13.11957157339416,93.6986154599746,9.956877786035715,-51.46355486389371,44.04680941427676,17.64079781313423,7.700731199249887,44.0481091824155,11.76,5.172984140272902,6.513839576065117,2.366666666666667,6.966667,4.666666666666667,1999,4
