,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
405,2016-12-31,美国,2.1819,4,USA,73153104.96332008,1.1431970331802026,7.310265829814267,2016
406,2017-03-31,美国,2.0872,1,USA,80850074.07565725,1.2580948906888085,6.571792102713069,2017
407,2017-06-30,美国,2.3302,2,USA,35111103.214874685,0.5468376475630726,6.213078758370602,2017
408,2017-09-30,美国,2.4112,3,USA,45367566.117667206,0.7058296421652086,6.6836244654920876,2017
409,2017-12-31,美国,2.9941,4,USA,83936128.28172134,1.305341802760343,7.869653560476718,2017
410,2018-03-31,美国,3.3292,1,USA,80594215.46887796,1.2534701944279478,7.440456703360499,2018
411,2018-06-30,美国,3.2993,2,USA,35859710.74603239,0.12151204603102189,3.9423948559232547,2018
412,2018-09-30,美国,3.1301,3,USA,40045385.895862274,0.6229107435989855,6.569364398721717,2018
413,2018-12-31,美国,2.125,4,USA,76722954.03751965,1.1934847368433694,9.157214465052478,2018
414,2019-03-31,美国,1.8514,1,USA,83379202.02728097,1.2973880047510686,8.569534173500482,2019
415,2019-06-30,美国,2.1538,2,USA,36674253.69567116,0.5714529297390064,10.044262228955354,2019
416,2019-09-30,美国,2.6701,3,USA,44880462.39751071,0.6990688215839627,7.955395563088305,2019
417,2019-12-31,美国,3.1825,4,USA,78895921.81042981,1.2270871448575615,8.170097991446449,2019
418,2020-03-31,美国,1.2265,1,USA,72226584.82056314,1.1249871077041014,7.9537172182730105,2020
419,2020-06-30,美国,-7.5285,2,USA,35100413.59973814,0.5464782506600463,5.376828887721504,2020
420,2020-09-30,美国,-1.4689,3,USA,44157814.40527184,0.6870461869307568,6.021958390504733,2020
421,2020-12-31,美国,-1.0835,4,USA,79260137.69883722,1.2329565967454263,7.100800016664991,2020
422,2021-03-31,美国,1.5722,1,USA,89751571.08686042,0.0826714173957425,1.9689185387168653,2021
423,2021-06-30,美国,11.9502,2,USA,36317097.136093505,0.03345436623789513,1.3159388319252476,2021
424,2021-09-30,美国,4.7353,3,USA,43248764.42961387,0.039837547773597264,1.229063063096486,2021
425,2021-12-31,美国,5.4212,4,USA,76957119.30183674,0.070886103122892,1.8739276141891879,2021
426,2022-03-31,美国,3.5654,1,USA,94962675.44812255,0.08747149235261831,2.1217763005663044,2022
427,2022-06-30,美国,1.871,2,USA,40501136.14546344,0.0373067632218349,1.3511850538483656,2022
428,2022-09-30,美国,1.713,3,USA,43893309.488829195,0.04043371395284657,1.2465388600633827,2022
429,2022-12-31,美国,0.6518,4,USA,102612052.28429031,0.09451703156731221,2.2815717396158335,2022
430,2023-03-31,美国,1.7177,1,USA,93432565.7849843,0.08606256144673351,1.8345370162124717,2023
431,2023-06-30,美国,2.3825,2,USA,36231346.95361953,0.03337719186735833,1.4209170365075945,2023
432,2023-09-30,美国,2.9271,3,USA,50068097.132216536,0.0461188461496267,1.4183691742224116,2023
433,2023-12-31,美国,3.1346,4,USA,92047120.57506104,0.0847857217001256,2.0514301052435786,2023
434,2024-03-31,美国,2.9237,1,USA,107300899.1699218,0.0988374836915228,2.749737941714854,2024
519,2013-03-31,德国,-0.4,1,DEU,4014575.7590086446,1.5174668096604609,4.117790578045189,2013
520,2013-06-30,德国,0.5,2,DEU,354443.38989263034,0.13517838001551089,0.804073825132436,2013
521,2013-09-30,德国,0.7,3,DEU,922632.9896513365,0.3501605981968014,1.8792610966311594,2013
522,2013-12-31,德国,1.5,4,DEU,2901399.4626957346,1.1070973498036614,4.118761592956756,2013
523,2014-03-31,德国,2.9,1,DEU,3304143.8093275814,1.2521586051875329,5.3892368030672655,2014
524,2014-06-30,德国,1.8,2,DEU,367701.8999612834,0.13952752133363008,0.7468876635493716,2014
525,2014-09-30,德国,1.8,3,DEU,992156.8431855129,0.3750522488371297,1.303152802270527,2014
526,2014-12-31,德国,2.3,4,DEU,3204516.912175335,1.2546934393795297,4.538185290496247,2014
527,2015-03-31,德国,0.8,1,DEU,3795792.2158015477,1.4350461208110337,4.234095275280348,2015
528,2015-06-30,德国,1.6,2,DEU,0.0,0.0,0.0,2015
529,2015-09-30,德国,1.5,3,DEU,923350.6697939136,0.355356424060506,1.438655375576548,2015
530,2015-12-31,德国,1.1,4,DEU,2952116.2297083884,1.1170461755903116,5.010541706787248,2015
531,2016-03-31,德国,2.5,1,DEU,3306374.4592935666,1.2545123741420847,4.0099628955467,2016
532,2016-06-30,德国,2.2,2,DEU,375517.10993072035,0.1435648451255247,0.7506901833849707,2016
533,2016-09-30,德国,2,3,DEU,982919.463238607,0.384333796124756,1.455591523550799,2016
534,2016-12-31,德国,1.9,4,DEU,3030520.299593409,1.1455630635134884,3.890073083397601,2016
535,2017-03-31,德国,2.3,1,DEU,3969459.4688061457,1.5005689919551515,4.41818724222835,2017
536,2017-06-30,德国,2.7,2,DEU,584449.733186599,0.22092230357546871,1.0253148558713703,2017
537,2017-09-30,德国,3.2,3,DEU,1205238.9427876244,0.4556299593357849,2.5857924318318437,2017
538,2017-12-31,德国,3.8,4,DEU,3371575.057398111,1.2743822262309685,3.771335110393173,2017
539,2018-03-31,德国,1.9,1,DEU,3866165.1545743346,1.4613283705612565,4.515281945911057,2018
540,2018-06-30,德国,1.8,2,DEU,406237.093188372,0.0986962193441922,0.686096117544127,2018
541,2018-09-30,德国,0.2,3,DEU,1177296.8764867764,0.4460523998299503,1.5273397917638867,2018
542,2018-12-31,德国,0.1,4,DEU,3623778.9156557084,1.3697099339660526,4.562991925310994,2018
543,2019-03-31,德国,1.4,1,DEU,3793453.858508285,1.4338483977275904,4.201849869915846,2019
544,2019-06-30,德国,0.6,2,DEU,643108.4598107507,0.24308430647449633,1.2221079287599184,2019
545,2019-09-30,德国,1.5,3,DEU,1088256.8728064636,0.411363996056495,1.2498499677974333,2019
546,2019-12-31,德国,0.9,4,DEU,3526298.147940967,1.332863436493999,4.225154021616023,2019
547,2020-03-31,德国,-1.5,1,DEU,3509149.8925325754,1.3263880422982213,4.496155281912099,2020
548,2020-06-30,德国,-10.6,2,DEU,323689.02977440256,0.1223475460016671,0.7153749143344613,2020
549,2020-09-30,德国,-2.6,3,DEU,1210187.5195723164,0.4574335301148043,1.3299644066790144,2020
550,2020-12-31,德国,-2.1,4,DEU,3721793.0770116244,1.4067673806144276,4.814821961462841,2020
551,2021-03-31,德国,-1.6,1,DEU,5710607.1352381995,1.3859854538501875,5.945305277949147,2021
552,2021-06-30,德国,10.8,2,DEU,659499.6397961186,0.16018100580030883,0.8891088860301136,2021
553,2021-09-30,德国,2.4,3,DEU,952957.1262890627,0.23149676467843283,1.0618773116979423,2021
554,2021-12-31,德国,1.6,4,DEU,3686617.5344027965,0.8947828651740721,3.1711191786488335,2021
555,2022-03-31,德国,4,1,DEU,4066505.2469189293,0.986963732325903,3.694944944418959,2022
556,2022-06-30,德国,1.6,2,DEU,344781.229878007,0.0836795244079393,0.7140141562121266,2022
557,2022-09-30,德国,1.2,3,DEU,1203284.835793664,0.29204326454595814,1.0735576792242065,2022
558,2022-12-31,德国,0.8,4,DEU,3662966.887098634,0.8890150775333189,2.9994811172770603,2022
559,2023-03-31,德国,0.1,1,DEU,4072658.634114735,0.9884536834355862,3.523740918794992,2023
560,2023-06-30,德国,0.2,2,DEU,0.0,0.0,0.0,2023
561,2023-09-30,德国,-0.1,3,DEU,1292994.6854047289,0.3138129437582589,1.3869141019744158,2023
562,2023-12-31,德国,-0.2,4,DEU,3617534.6442808807,0.8780484763651867,3.227051561564545,2023
563,2024-03-31,德国,-0.2,1,DEU,5486053.078747058,1.331513925604638,4.661100718140859,2024
